User_id,Product Name,Rating
7014,Chau Mask 2,3
7500,Dokra 14,4
7011,Himsagar 9,4
7085,Dokra 14,5
7328,Gobindobhog 6,5
7091,Kolkata Rasgulla 7,3
6812,Himsagar 10,3
7185,Kalonunia 8,5
6923,Joynagar Moya 8,3
6827,Joynagar Moya 9,4
7352,Chau Mask 3,3
7185,Kolkata Rasgulla 7,4
7491,Sitabhog 11,4
6642,Himsagar 5,5
7160,Fazli 5,4
7026,Santipur Tanter Saree 5,4
7518,Himsagar 9,3
6949,Santiniketan Leather 8,3
7096,Kalonunia 8,3
7487,Sitabhog 7,5
7519,Fazli 5,3
6672,Kushmandi Wooden Mask 5,5
6747,Fazli 6,3
7154,Kalonunia 1,3
6614,Joynagar Moya 9,5
7052,Santiniketan Leather 2,4
6678,Garad Saree 1,5
6594,Mihidana 4,4
6762,Nakshi Kantha Saree 2,5
6864,Santiniketan Leather 2,4
7504,Himsagar 3,4
6698,Fazli 1,4
7003,Nakshi Kantha Saree 20,3
6699,Joynagar Moya 1,3
7256,Madur 8,3
7142,Himsagar 7,5
7009,Patachitra 11,3
6854,Fazli 6,4
6863,Joynagar Moya 10,4
7503,Teracotta 8,4
6581,Mihidana 2,4
6833,Patachitra 10,4
6590,Himsagar 7,3
6922,Baluchari Saree 7,5
7314,Kushmandi Wooden Mask 10,4
6961,Mihidana 7,5
6661,Kushmandi Wooden Mask 2,4
6556,Kolkata Rasgulla 6,3
7037,Santipur Tanter Saree 9,3
7246,Nakshi Kantha Saree 6,3
7288,Gobindobhog 5,5
7387,Patachitra 7,5
7416,Santiniketan Leather 1,4
6766,Santipur Tanter Saree 3,4
7226,Garad Saree 10,3
6902,Baluchari Saree 5,3
6652,Mihidana 7,4
7349,Mihidana 2,5
7257,Dokra 3,4
7103,Patachitra 7,4
6557,Fazli 8,4
6825,Madur 1,5
6795,Kushmandi Wooden Mask 4,3
6875,Nakshi Kantha Saree 4,4
7113,Nakshi Kantha Saree 19,4
7024,Nakshi Kantha Saree 19,4
7491,Kushmandi Wooden Mask 4,3
6709,Dokra 13,3
7277,Patachitra 17,4
7037,Santipur Tanter Saree 1,5
7470,Chau Mask 8,3
7295,Patachitra 1,4
6625,Sundarban Honey 9,5
7478,Gobindobhog 2,5
6975,Nakshi Kantha Saree 1,4
7354,Kolkata Rasgulla 9,5
6784,Garad Saree 5,5
7317,Santipur Tanter Saree 5,5
7477,Mihidana 1,3
7508,Dokra 3,5
7375,Garad Saree 6,5
6655,Fazli 5,3
7055,Fazli 5,5
7399,Patachitra 8,3
7209,Teracotta 5,3
7162,Dokra 14,5
7395,Baluchari Saree 7,4
6650,Himsagar 10,5
6895,Himsagar 4,4
6995,Santiniketan Leather 3,4
6709,Gobindobhog 2,3
7500,Madur 2,3
6681,Joynagar Moya 10,4
6817,Gobindobhog 4,4
6936,Teracotta 1,3
6637,Joynagar Moya 1,3
7303,Mihidana 9,3
7443,Fazli 8,4
6556,Sundarban Honey 5,5
6765,Kalonunia 6,5
6888,Madur 4,4
7339,Gobindobhog 5,3
6951,Santipur Tanter Saree 10,4
7220,Chau Mask 1,5
6572,Kushmandi Wooden Mask 5,3
7431,Himsagar 5,5
7317,Chau Mask 3,4
7169,Chau Mask 5,4
6791,Nakshi Kantha Saree 19,4
7036,Santiniketan Leather 1,3
6886,Kolkata Rasgulla 9,3
7318,Chau Mask 4,5
6778,Santiniketan Leather 7,3
7530,Nakshi Kantha Saree 4,4
7309,Gobindobhog 3,5
6549,Sundarban Honey 14,5
6966,Kolkata Rasgulla 10,4
7105,Dokra 5,5
6976,Chau Mask 2,5
7379,Kolkata Rasgulla 4,4
7220,Garad Saree 7,5
7067,Baluchari Saree 3,4
7398,Kolkata Rasgulla 3,5
7219,Himsagar 5,4
7154,Nakshi Kantha Saree 10,4
7429,Kushmandi Wooden Mask 1,3
7359,Mihidana 10,5
7045,Fazli 1,4
7062,Patachitra 9,4
6623,Kushmandi Wooden Mask 11,5
7490,Nakshi Kantha Saree 8,5
6906,Santiniketan Leather 6,5
7405,Sitabhog 10,3
6715,Garad Saree 7,5
7239,Chau Mask 4,3
7495,Himsagar 4,5
6633,Teracotta 2,3
7017,Gobindobhog 9,4
7379,Gobindobhog 9,4
7335,Patachitra 3,3
6548,Kalonunia 10,4
6635,Sundarban Honey 9,5
6658,Mihidana 10,3
7022,Baluchari Saree 5,4
